Title, Description, Date: 2022-04-08, Date: 2022-04-12, Source
Zebra ET51 Tablet,  Rugged Tablet - Zebra ET51 - 8MP Camera - Android - 32 GB - Capacitive Multi-Touch - Wi-Fi/Bluetooth - 8.4" Display - Integrated Scanner - Protective Frame - Connector - Hand Strap - 6440 mAh Battery ,  $1615.59,  $1606.83,  https://www.barcodegiant.com/zebra/part-et51ce-g21e-sfna.htm
Samsung Galaxy Tab S7+ Tablet,  Samsung Galaxy Tab S7+ SM-T970 Tablet - 12.4" WQXGA+ - 6 GB RAM - 128 GB Storage - Android 10 - Mystical Black - Qualcomm Snapdragon 865 Plus SoC Octa-core (8 Core) 3.09 GHz - Upto 1 TB microSD Supported - 2800 x 1752 - 8 Megapixel Front Camera - 14 Hour Maximum Battery Run Time ,  $1068.48,  $1025.32,  https://www.barcodegiant.com/samsung/part-sm-t970nzkaxar.htm
Microsoft Tablet,  Microsoft Surface Pro 7 Tablet - 12.3" - 8 GB RAM - 128 GB SSD - Windows 10 Pro - Platinum - Intel Core i5 10th Gen microSDXC Supported - 2736 x 1824 - PixelSense Display - 5 Megapixel Front Camera ,  $1472.37,  $1051.32,  https://www.barcodegiant.com/microsoft/part-pvq-00001.htm
DT Research 313MD Medical Tablet,  DT RESEARCH 13.3HB MED I5 W10 ,  $2498.00,  $2582.00,  https://www.barcodegiant.com/dt_research/part-313md-xw5-c595.htm
DT Research 313MD Medical Tablet,  DT RESEARCH 13.3HB MED I5 W10 ,  $2498.00,  $2682.00,  https://www.barcodegiant.com/dt_research/part-313md-xw5-c5a5.htm
Zebra ET51 Tablet,  Rugged Tablet - Zebra ET51 - 8MP Camera - Android - 64 GB - Capacitive Multi-Touch - Wi-Fi/Bluetooth - 10.1" Display - 9660 mAh Battery ,  $1365.21,  $1377.82,  https://www.barcodegiant.com/zebra/part-et51ct-g21e-00na.htm
Zebra ET51 Tablet,  Rugged Tablet - Zebra ET51 - 8MP Camera - Windows 10 IOT - 128 GB - Capacitive Multi-Touch - Wi-Fi/Bluetooth - 10.1" Display - 4950 mAh Battery ,  $1871.96,  $1889.24,  https://www.barcodegiant.com/zebra/part-et51at-w15e.htm
Topaz GemView 10 Tablet,  Tablet - 10.1" display - 1280 x 800 resolution - Full color - Backlit TFT display - USB interface - Includes stylus- bundled esign software and 1-year factory warranty ,  $403.82,  $456.42,  https://www.barcodegiant.com/topaz/part-td-lbk101va-usb-r.htm
Zebra L10 Tablet,  Rugged Tablet - Zebra XPAD L10 - 13MP/2 MP Camera - Android - 4 GB - Capacitive - Wi-Fi - 10.1" Display - Standard Battery - 1000 NIT ,  $2404.36,  $2417.47,  https://www.barcodegiant.com/zebra/part-rtl10b1-e1as0x0000na.htm
DT Research 313MD Medical Tablet,  DT RESEARCH 13.3HB MED I5 W10 ,  $2582.00,  $2498.00,  https://www.barcodegiant.com/dt_research/part-313md-xw5-c495.htm
DT Research 313MD Medical Tablet,  DT RESEARCH 13.3HB MED I5 W10 ,  $2582.00,  $2682.00,  https://www.barcodegiant.com/dt_research/part-313md-xw5-c5a5.htm
HP Parts Tablet Computer,  HP Pro x2 612 G2 Tablet - 12" - 4 GB RAM - 128 GB SSD - Intel Core M 7th Gen m3-7Y30 Dual-core (2 Core) 1 GHz microSD- microSDXC- microSDHC Supported - 1920 x 1280 - BrightView Display - 5 Megapixel Front Camera ,  $2170.37,  $1491.97,  https://www.barcodegiant.com/hp/part-1bt28ut#aba.htm
HP Parts Tablet Computer,  HP Pro x2 612 G2 Tablet - 12" - 4 GB RAM - 128 GB SSD - Intel Core M 7th Gen m3-7Y30 Dual-core (2 Core) 1 GHz microSD- microSDXC- microSDHC Supported - 1920 x 1280 - BrightView Display - 5 Megapixel Front Camera ,  $1491.97,  $2170.37,  https://www.barcodegiant.com/hp/part-1bt28ua#aba.htm
Touch Dynamic Quest III Tablet,  Touch Dynamic Quest III Windows Tablet - Intel Atom 1.60 GHz - 4 GB DDR3L SDRAM - Windows 10 Pro (64-bit) ,  $1742.60,  $1509.26,  https://www.barcodegiant.com/touch-dynamic/part-qa00-1t000000.htm
Touch Dynamic Quest III Tablet,  Touch Dynamic Quest III Windows Tablet - Intel Atom 1.60 GHz - 4 GB DDR3L SDRAM - Windows 10 Pro (64-bit) ,  $1509.26,  $1742.60,  https://www.barcodegiant.com/touch-dynamic/part-q4000-1t000000.htm
DLI 8 Tablet Computer,  DLI 8- Comark 8 Rugged Mobile Tablet Gen2- Intel Quad Core 1.8GHz CPU- 8.0" 1024 x 768- Wide View Angle 350NIT LCD- Indoor/Outdoor Touch Screen- 1-USB- 1-Micro HDMI- 64GB SSD- Bluetooth Class 2 V4.0- 5MP CMOS Camera with Flash (Back)- 1.3MP Camera (Front)- 4GB RAM- 802.11a/b/g/n (AC)- External Battery Pack- Screen Protector- Hand Strap- Stylus (Does not include AC Wall Adapter). (Many more configurations available- please call us for all options). ,  $1328.95,  $1771.05,  https://www.barcodegiant.com/dli/part-dli8e2.htm
DLI 8 Tablet Computer,  DLI 8- Comark 8 Rugged Mobile Tablet Gen2- Intel Quad Core 1.8GHz CPU- 8.0" 1024 x 768- Wide View Angle 350NIT LCD- Indoor/Outdoor Touch Screen- 1-USB- 1-Micro HDMI- 64GB SSD- Bluetooth Class 2 V4.0- 5MP CMOS Camera with Flash (Back)- 1.3MP Camera (Front)- 4GB RAM- 802.11a/b/g/n (AC)- External Battery Pack- Screen Protector- Hand Strap- Stylus (Does not include AC Wall Adapter). (Many more configurations available- please call us for all options). ,  $1771.05,  $1328.95,  https://www.barcodegiant.com/dli/part-dli8a2.htm
