Model #
 313T-XW5-C495,DT Research DT313T-MD Medical Tablet, 13. 3 MEDICAL GRADE TABLET I5 PROCESSOR WIN 10 IOT ENTERPRISE- 256GB- 8GB RAM CA ,  barcode_giant:  https://www.barcodegiant.com/dt_research/part-313t-xw5-c495.htm, 2022-05-02
 RT10A-L1N-18C12E0F,Honeywell RT10 Rugged Tablet, Tablet - Honeywell RT10 Android Tablet - Android 9.0 Imager - 1920 x 1200 Resolution - AT&T - Verizon - Capacitive Multi-Touch - Device Client Pack (DCP) - 13MP/8MP Camera - Bluetooth/Wi-Fi - 4GB/32GB Memory - Standard/Indoor Screen - 6803FR Flex Range Imager - Front & Rear Cameras - Extended Battery - Power Supply ,  barcode_giant:  https://www.barcodegiant.com/honeywell/part-rt10a-l1n-18c12e0f.htm  barcodes_inc:  barcodesinc.com/honeywell/part-rt10a-l1n-18c12e0f.htm, 2022-05-02
 SM-T540NZKAXAR,Samsung Galaxy Tab Active Pro Rugged Tablet, Samsung Galaxy Tab Active Pro SM-T540 Tablet - 10.1" - 4 GB RAM - 64 GB Storage - Android 9.0 Pie - Black - Qualcomm Snapdragon 670 SoC Dual-core (2 Core) 2 GHz microSD Supported - 1920 x 1200 - 8 Megapixel Front Camera ,  barcode_giant:  https://www.barcodegiant.com/samsung/part-sm-t540nzkaxar.htm, 2022-05-02
 RT10A-L0N-18C12E0F,Honeywell RT10 Rugged Tablet,  Tablet - Honeywell RT10 Android Tablet - Android 9.0 Imager - 1920 x 1200 Resolution - WiFi Only - Capacitive Multi-Touch - Device Client Pack (DCP) - 13MP/8MP Camera - Bluetooth/Wi-Fi - 4GB/32GB Memory - Standard/Indoor Screen - 6803FR Flex Range Imager - Front & Rear Cameras - Extended Battery - Power Supply ,  barcode_giant:  https://www.barcodegiant.com/honeywell/part-rt10a-l0n-18c12e0f.htm  barcodes_inc:  barcodesinc.com/honeywell/part-rt10a-l0n-18c12e0f.htm, 2022-05-02
 ET51AE-W12E-SF,Zebra ET51 Tablet, Rugged Tablet - Zebra ET51 - 8MP Camera - Windows 10 IOT - 32 GB - Capacitive Multi-Touch - Wi-Fi/Bluetooth - 8.4" Display - Integrated Scanner - 3300 mAh Battery ,  barcode_giant:  https://www.barcodegiant.com/zebra/part-et51ae-w12e-sf.htm, 2022-05-02
 RT10A-L0N-17C12S0F,Honeywell RT10 Rugged Tablet, Tablet - Honeywell RT10 Android Tablet - Android 9.0 Imager - 1920 x 1200 Resolution - WiFi Only - Capacitive Multi-Touch - Device Client Pack (DCP) - 13MP/8MP Camera - Bluetooth/Wi-Fi - 4GB/32GB Memory - Indoor Screen - 6703SR Standard Range Imager - Front & Rear Cameras - Standard Battery - Power Supply ,  barcode_giant:  https://www.barcodegiant.com/honeywell/part-rt10a-l0n-17c12s0f.htm  barcodes_inc:  barcodesinc.com/honeywell/part-rt10a-l0n-17c12s0f.htm, 2022-05-02
 RT10W-L00-18C12S0F,Honeywell RT10 Rugged Tablet, Honeywell RT10W Tablet - 10.1" WUXGA - 8 GB RAM - 128 GB Storage - Windows 10 - Intel Pentium N4200 1.10 GHz microSDXC Supported - 1920 x 1200 - 2 Megapixel Front Camera - 8 Hour Maximum Battery Run Time ,  barcode_giant:  https://www.barcodegiant.com/honeywell/part-rt10w-l00-18c12s0f.htm  barcodes_inc:  barcodesinc.com/honeywell/part-rt10w-l00-18c12s0f.htm, 2022-05-02
 RT10W-L00-17C12S0F,Honeywell RT10 Rugged Tablet, Tablet - Honeywell RT10 Windows Tablet - Windows 10 Imager - 1920 x 1200 Resolution - WiFi Only - Capacitive Multi-Touch - Enterprise Client Pack (ECP) - 2MP/8MP Camera - Bluetooth/Wi-Fi - 8GB/128GB Memory - Standard/Indoor Screen - 6703SR Standard Range Imager - Front & Rear Cameras - Standard Battery - Power Supply ,  barcode_giant:  https://www.barcodegiant.com/honeywell/part-rt10w-l00-17c12s0f.htm  barcodes_inc:  barcodesinc.com/honeywell/part-rt10w-l00-17c12s0f.htm, 2022-05-02
 ET51AE-W15E,Zebra ET51 Tablet, Rugged Tablet - Zebra ET51 - Windows 10 - No Scanner - Wireless - 3300 mAh Battery - IP65 - No WAN - LAN Only -Intel - Eight inch (8.4") - English - Power supply sold separately. 8GB RAM/128GB Flash ,  barcode_giant:  https://www.barcodegiant.com/zebra/part-et51ae-w15e.htm, 2022-05-02
 RT10A-L0N-18C12S0F,Honeywell RT10 Rugged Tablet, Tablet - Honeywell RT10 Android Tablet - Android 9.0 Imager - 1920 x 1200 Resolution - WiFi Only - Capacitive Multi-Touch - Device Client Pack (DCP) - 13MP/8MP Camera - Bluetooth/Wi-Fi - 4GB/32GB Memory - Standard/Indoor Screen - 6803FR Flex Range Imager - Front & Rear Cameras - Standard Battery - Power Supply ,  barcode_giant:  https://www.barcodegiant.com/honeywell/part-rt10a-l0n-18c12s0f.htm  barcodes_inc:  barcodesinc.com/honeywell/part-rt10a-l0n-18c12s0f.htm, 2022-05-02
 RT10A-L1N-17C12S1F,Honeywell RT10 Rugged Tablet, Tablet - Honeywell RT10 Android Tablet - Android 9.0 Imager - 1920 x 1200 Resolution - AT&T - Verizon - Capacitive Multi-Touch - Device Client Pack (DCP) - 13MP/8MP Camera - Bluetooth/Wi-Fi - 4GB/32GB Memory - Sunlight Readable/Outdoor Screen - 6703SR Standard Range Imager - Front & Rear Cameras - Standard Battery - Power Supply ,  barcode_giant:  https://www.barcodegiant.com/honeywell/part-rt10a-l1n-17c12s1f.htm  barcodes_inc:  barcodesinc.com/honeywell/part-rt10a-l1n-17c12s1f.htm, 2022-05-02
