Model #, Price, Date
313T-XW5-C495,2022-04-26,2332.0
SM-T540NZKAXAR,2022-04-26,606.8611764705881
RT10A-L0N-18C12E0F,2022-04-26,2942.455
ET51AE-W12E-SF,2022-04-26,1816.37
RT10A-L0N-17C12S0F,2022-04-26,2580.965
RT10W-L00-18C12S0F,2022-04-26,3000.145
RT10W-L00-17C12S0F,2022-04-26,2716.12
ET51AE-W15E,2022-04-26,1709.46
RT10A-L0N-18C12S0F,2022-04-26,3273.24
RT10A-L1N-17C12S1F,2022-04-26,2925.085
SM-T577UZKDN14,2022-04-26,620.5764705882351
U1D1A1DAABXX,2022-04-26,2199.0
RT10W-L10-17C12S0F,2022-04-26,2982.4350000000004
SM-T727UZKAXAA,2022-04-26,593.38
SM-T970NZKAXAR,2022-04-26,888.5388235294116
SM-T547UZKAXAA,2022-04-26,689.6394117647058
ET51AE-W15E-SF,2022-04-26,2030.18
RT10W-L00-18C12E0F,2022-04-26,3115.54
ET56DT-G21E-00NA,2022-04-26,1710.53
1NC-00001,2022-04-26,1599.99
512013,2022-04-26,129.99
531707,2022-04-26,159.99
511625,2022-04-26,129.99
215677,2022-04-26,99.99
512707,2022-04-26,129.99
215522,2022-04-26,31.32
511707,2022-04-26,49.99
526707,2022-04-26,159.99
215537,2022-04-26,13.54
215591,2022-04-26,13.54
216591,2022-04-26,17.1
2MM12UA#ABA,2022-04-26,2039.0
XT12HAZ,2022-04-26,5170.0
SM-T390NZKAXAR,2022-04-26,427.6588235294116
200017,2022-04-26,32.0
200029,2022-04-26,51.0
QCT-MA4YZQ-WA,2022-04-26,3626.61
UM3W002000300,2022-04-26,1876.0
Q4010-1M00000C,2022-04-26,1896.3
Q4021-1MAIH000,2022-04-26,1696.3
8400-1T0XXXX0,2022-04-26,1490.0
RT10A-L1N-17C12S0F,2022-04-26,2772.7
RT10A-L0N-18C22S0F,2022-04-26,3316.5249999999996
RT10A-L1N-18C22S0F,2022-04-26,3587.265
ET56BT-W15E,2022-04-26,2184.87
RPL10-LXV2W1W1S0X0X0,2022-04-26,2875.57
RPL10-LXV5W4W1S0X0X0,2022-04-26,3152.71
PVQ-00001,2022-04-26,1051.32
SM-T727VZSAVZW,2022-04-26,496.03411764705874
SM-T870NZSEXAR,2022-04-26,948.04
SM-T878UZKAVZW,2022-04-26,862.0364705882351
SM-T970NZKEXAR,2022-04-26,1154.06
SM-P610NZAAXAR,2022-04-26,354.95647058823516
SM-P610NZAEXAR,2022-04-26,432.2988235294116
93DHN014600L33,2022-04-26,1587.58
8410-1M000000,2022-04-26,1607.41
313MD-XW5-C495,2022-04-26,2498.0
RT10W-L10-17C12E0F,2022-04-26,2944.08
8410-1TS00000,2022-04-26,1905.56
FZ-G1U6150VM,2022-04-26,2929.0
AIM-75S-211S10,2022-04-26,980.8729411764706
8450-1MSAMH10,2022-04-26,2195.0
SM-T733NZKAXAR,2022-04-26,529.9899999999999
SM-T733NZSAXAR,2022-04-26,529.99
SM-T738UZKAXAU,2022-04-26,704.8135294117646
SM-T738UZKAATT,2022-04-26,669.99
SM-T738UZKAVZW,2022-04-26,704.8135294117646
SM-T570NZKAN20,2022-04-26,489.99
SM-T570NZKEN20,2022-04-26,509.9899999999999
SM-T577UZKGN14,2022-04-26,632.5782352941176
VM3W2O1A1AET1JA1,2022-04-26,5508.0
FZ-G1U1061VM,2022-04-26,2799.0
FZ-G1U1147VM,2022-04-26,3794.0
1ND-00016,2022-04-26,1999.99
SM-T220NZAAXAR,2022-04-26,159.99
8451-1MSAMH10,2022-04-26,2487.0
DTU1141B,2022-04-26,689.0
Q11-ME4XZQ-01,2022-04-26,2972.62
ET51CT-G21E-00NA,2022-04-26,1377.82
RTL10B1-A1AS0X0000NA,2022-04-26,2137.09
ET51CE-G21E-00NA,2022-04-26,1295.26
ET51AT-W15E,2022-04-26,1889.24
ET51AE-W12E,2022-04-26,1625.77
TD-LBK101VA-USB-R,2022-04-26,456.42
ET56DE-G21E-00NA,2022-04-26,1641.38
TD-LBK070VA-USB-R,2022-04-26,360.39
200585,2022-04-26,2364.0
200526,2022-04-26,2419.0
200591,2022-04-26,2199.0
210464,2022-04-26,2297.45
ET56BE-W12E,2022-04-26,1902.15
ET56BT-W12E,2022-04-26,2019.7649999999999
RTL10B1-E1AS0X0000NA,2022-04-26,2417.47
TD-LBK156VA-USB-R,2022-04-26,606.45
200281,2022-04-26,2499.0
592K53-X-C495,2022-04-26,2580.0
LAN700-USBAR05A,2022-04-26,0.0
RT10A-L1N-18C12E0F,2022-04-26,3173.24
SM-T307UZNAVZW,2022-04-26,799.99
17-A1B4-1131/22111100,2022-04-26,8867.37
XT8650-S3,2022-04-26,1590.0
ET51CE-G21E-SFNA,2022-04-26,1606.83
301X-105-495,2022-04-26,2082.0
FZ-M1JX51AVM,2022-04-26,3869.0
RTL10B1-E4AS0X0000NA,2022-04-26,2725.08
SM-T290NZKAXAR,2022-04-26,327.0
313MD-XW5-C595,2022-04-26,2582.0
ET51AT-W14E,2022-04-26,1765.05
XT1180-IMG,2022-04-26,2695.0
XT1680SV-C,2022-04-26,2900.0
FLEX10B,2022-04-26,595.0
XT1680SV,2022-04-26,2360.0
FZ-G1U1068VM,2022-04-26,3309.57
SM-T500NZAAXAR,2022-04-26,285.4
XT1150-IMG2,2022-04-26,2175.0
XA1150-WL,2022-04-26,1295.0
FLEX10B-NK,2022-04-26,595.0
FLEX10AND,2022-04-26,495.0
XT1150-S2,2022-04-26,1675.0
MS3A-CFG-13191,2022-04-26,2315.79
XT1270i5,2022-04-26,2495.0
RT10W-L10-17C12S1F,2022-04-26,3055.62
311T-10B7-495,2022-04-26,2405.19
MR7K2CL/A,2022-04-26,516.92
XT1680S-C,2022-04-26,2625.0
MS3-CFG-13134,2022-04-26,2525.26
MS3-CFG-13129,2022-04-26,2462.11
8000-1ASXXXX0,2022-04-26,1639.0
QAX0-A2XXX000,2022-04-26,948.0
R1A1B3DHAAHX,2022-04-26,3376.0
301XC-10B-495,2022-04-26,1832.0
MS3-CFG-13138,2022-04-26,3250.53
MS3-CFG-13139,2022-04-26,2900.0
MS3-CFG-13140,2022-04-26,3478.95
XA1150-WL-IMG,2022-04-26,1590.0
SM-T870NZKAXAR,2022-04-26,747.88
SM-T290NZSAXAR,2022-04-26,199.12
PVT-00001,2022-04-26,3280.85
XT8650-IMG3-EU,2022-04-26,2090.0
AIM-68CT-C2101000,2022-04-26,1254.54
ACC-010-07,2022-04-26,20.35
523699,2022-04-26,199.99
530180,2022-04-26,149.99
511013,2022-04-26,49.99
513013,2022-04-26,139.99
249001,2022-04-26,159.99
249006,2022-04-26,149.99
215672,2022-04-26,159.99
511156,2022-04-26,99.99
249002,2022-04-26,169.99
215664,2022-04-26,75.99
246565,2022-04-26,254.99
215670,2022-04-26,20.66
215536,2022-04-26,13.54
T3-C123D5-41,2022-04-26,924.24
T3-C123D5-42,2022-04-26,1147.63
T3-C123V5-44,2022-04-26,1683.53
T3-C123V5-46,2022-04-26,1593.03
1BT28UA#ABA,2022-04-26,2170.37
W9A82AA,2022-04-26,54.0
ET100-WNLB,2022-04-26,1868.0
RT100-ANLB,2022-04-26,930.0
RT100-WNLE,2022-04-26,1200.0
RT100-WNLG,2022-04-26,1750.0
AF2754DW,2022-04-26,32.5
1BT25UT#ABA,2022-04-26,1346.04
1BT28UT#ABA,2022-04-26,1491.97
R11H20-5AM308J3,2022-04-26,1899.0
R11H20-5BM408J3,2022-04-26,2199.0
R11H20-5BM4S8J3,2022-04-26,2398.0
R11H22-5BM408J3,2022-04-26,2699.0
R11H22-7BM408J3,2022-04-26,2899.0
Q12C123D001,2022-04-26,1413.64
301T-10B5-495,2022-04-26,2188.0
311T-10B5-495,2022-04-26,2086.575
311T-10B5-4A5,2022-04-26,2182.21
311T-10B5-4B5,2022-04-26,2366.825
311T-10B7-4A5,2022-04-26,2545.02
311T-10B7-4B5,2022-04-26,2739.67
T3-C123D5-44,2022-04-26,1240.53
T3-C123D5-46,2022-04-26,1361.67
MS2-200-HL,2022-04-26,2900.0
MS2-201-HL,2022-04-26,3577.89
MS2-202-HL,2022-04-26,3472.63
MS2-203-HL,2022-04-26,4156.84
MS2-205-HL,2022-04-26,3263.16
MS2-210-HL,2022-04-26,3263.16
MS2-206-HL,2022-04-26,3946.32
MS2-211-HL,2022-04-26,3946.32
MS2-207-HL,2022-04-26,3841.05
MS2-208-HL,2022-04-26,4525.26
MS2-212-HL,2022-04-26,4525.26
MS2-214-HL,2022-04-26,4736.84
MS2-215-HL,2022-04-26,5110.53
MS2-216-HL,2022-04-26,5420.0
MS2-217-HL,2022-04-26,5788.42
iPad-Air-2-32G,2022-04-26,525.0
iPad-Pro-32GB,2022-04-26,788.16
iPad-Mini-2,2022-04-26,353.95
iPad-Mini-4,2022-04-26,525.0
Q11-MM4YCQ-W2,2022-04-26,3491.93
Q12-C123D5-42,2022-04-26,2038.22
Q12-C123V5-42,2022-04-26,2157.59
Q11-ME4YCQ-Y2,2022-04-26,4568.93
QA10-1T000003,2022-04-26,2090.75
QA10-A200000,2022-04-26,1463.33
Q30A0-1MXXX0NN,2022-04-26,1680.0
Q4002-A200H000,2022-04-26,1298.33
Q4010-A2000000,2022-04-26,1713.0
QA00-A2000000,2022-04-26,1131.0
QA02-A200H000,2022-04-26,1048.0
QA10-A2000000,2022-04-26,1463.0
QA12-A200H000,2022-04-26,1463.33
Q900-1T000000,2022-04-26,1425.0
Q940-1M000000,2022-04-26,1331.0
Q960-1M000000,2022-04-26,1663.0
Q3000-A10000000,2022-04-26,1248.33
Q3010-A1000000,2022-04-26,1580.0
Q3020-A1000000,2022-04-26,1415.0
Q3030-A1000000,2022-04-26,1746.67
Q402-A100H000,2022-04-26,998.33
Q4021-1MTMH0CN,2022-04-26,1865.0
Q4010-1T000000,2022-04-26,2074.08
QA10-1T000000,2022-04-26,1840.0
QA71-1MADH003,2022-04-26,2178.0
QCT-MA4XAQ-W2,2022-04-26,3589.74
Q12-C123V5-41,2022-04-26,1495.02
Q3020-1T00003G,2022-04-26,1991.67
Q4002-A200K0CN,2022-04-26,1498.33
Q4012-A200H000,2022-04-26,1690.33
Q4030-1M000003,2022-04-26,2196.67
Q4032-A200H000,2022-04-26,1827.78
Q412-A100H00,2022-04-26,1580.0
QA31-1MADH000,2022-04-26,1762.0
Q4031-1MADH0C3,2022-04-26,2313.0
