Title, Description, Price, Web_source, Link, Date_Accessed, Part/Item #, MFG #, SKU, CDW #
DT Research DT313T-MD Medical Tablet, 13. 3 MEDICAL GRADE TABLET I5 PROCESSOR WIN 10 IOT ENTERPRISE- 256GB- 8GB RAM CA , $2332.00, barcode_giant, https://www.barcodegiant.com/dt_research/part-313t-xw5-c495.htm, 2022-04-08
Samsung Galaxy Tab Active Pro Rugged Tablet, Samsung Galaxy Tab Active Pro SM-T540 Tablet - 10.1" - 4 GB RAM - 64 GB Storage - Android 9.0 Pie - Black - Qualcomm Snapdragon 670 SoC Dual-core (2 Core) 2 GHz microSD Supported - 1920 x 1200 - 8 Megapixel Front Camera , $716.80, barcode_giant, https://www.barcodegiant.com/samsung/part-sm-t540nzkaxar.htm, 2022-04-08
Honeywell RT10 Rugged Tablet, Tablet - Honeywell RT10 Android Tablet - Android 9.0 Imager - 1920 x 1200 Resolution - WiFi Only - Capacitive Multi-Touch - Device Client Pack (DCP) - 13MP/8MP Camera - Bluetooth/Wi-Fi - 4GB/32GB Memory - Standard/Indoor Screen - 6803FR Flex Range Imager - Front & Rear Cameras - Extended Battery - Power Supply , $2892.80, barcode_giant, https://www.barcodegiant.com/honeywell/part-rt10a-l0n-18c12e0f.htm, 2022-04-08
Zebra ET51 Tablet, Rugged Tablet - Zebra ET51 - 8MP Camera - Windows 10 IOT - 32 GB - Capacitive Multi-Touch - Wi-Fi/Bluetooth - 8.4" Display - Integrated Scanner - 3300 mAh Battery , $1816.37, barcode_giant, https://www.barcodegiant.com/zebra/part-et51ae-w12e-sf.htm, 2022-04-08
Zebra ET51 Tablet, Rugged Tablet - Zebra ET51 - 8MP Camera - Android - 32 GB - Capacitive Multi-Touch - Wi-Fi/Bluetooth - 8.4" Display - Integrated Scanner - Protective Frame - Connector - Hand Strap - 6440 mAh Battery , $1615.59, barcode_giant, https://www.barcodegiant.com/zebra/part-et51ce-g21e-sfna.htm, 2022-04-08
Honeywell RT10 Rugged Tablet, Honeywell RT10W Tablet - 10.1" WUXGA - 8 GB RAM - 128 GB Storage - Windows 10 - Intel Pentium N4200 1.10 GHz microSDXC Supported - 1920 x 1200 - 2 Megapixel Front Camera - 8 Hour Maximum Battery Run Time , $2949.52, barcode_giant, https://www.barcodegiant.com/honeywell/part-rt10w-l00-18c12s0f.htm, 2022-04-08
Honeywell RT10 Rugged Tablet, Tablet - Honeywell RT10 Windows Tablet - Windows 10 Imager - 1920 x 1200 Resolution - WiFi Only - Capacitive Multi-Touch - Enterprise Client Pack (ECP) - 2MP/8MP Camera - Bluetooth/Wi-Fi - 8GB/128GB Memory - Standard/Indoor Screen - 6703SR Standard Range Imager - Front & Rear Cameras - Standard Battery - Power Supply , $2670.28, barcode_giant, https://www.barcodegiant.com/honeywell/part-rt10w-l00-17c12s0f.htm, 2022-04-08
Zebra ET51 Tablet, Rugged Tablet - Zebra ET51 - Windows 10 - No Scanner - Wireless - 3300 mAh Battery - IP65 - No WAN - LAN Only -Intel - Eight inch (8.4") - English - Power supply sold separately. 8GB RAM/128GB Flash , $1709.46, barcode_giant, https://www.barcodegiant.com/zebra/part-et51ae-w15e.htm, 2022-04-08
Samsung Tablet, Samsung Galaxy Tab Active3 Rugged Tablet - 8" WUXGA - 4 GB RAM - 64 GB Storage - Android 10 - 4G - Black - Samsung Exynos 9810 SoC Octa-core (8 Core) 2.70 GHz - Upto 1 TB microSD- microSDXC- microSDHC Supported - 1920 x 1200 - Unlocked - Cellular Phone Capability - LTE - 5 Megapixel Front Camera , $751.41, barcode_giant, https://www.barcodegiant.com/samsung/part-sm-t577uzkdn14.htm, 2022-04-08
Samsung Galaxy Tab S5e Tablet, Samsung Galaxy Tab S5e SM-T727 Tablet - 10.5" - 4 GB RAM - 64 GB Storage - Android 9.0 Pie - 4G - Black - Qualcomm Snapdragon 670 SoC Dual-core (2 Core) 2 GHz microSD Supported - 2560 x 1600 - LTE - 8 Megapixel Front Camera , $593.38, barcode_giant, https://www.barcodegiant.com/samsung/part-sm-t727uzkaxaa.htm, 2022-04-08
Samsung Galaxy Tab S7+ Tablet, Samsung Galaxy Tab S7+ SM-T970 Tablet - 12.4" WQXGA+ - 6 GB RAM - 128 GB Storage - Android 10 - Mystical Black - Qualcomm Snapdragon 865 Plus SoC Octa-core (8 Core) 3.09 GHz - Upto 1 TB microSD Supported - 2800 x 1752 - 8 Megapixel Front Camera - 14 Hour Maximum Battery Run Time , $1068.48, barcode_giant, https://www.barcodegiant.com/samsung/part-sm-t970nzkaxar.htm, 2022-04-08
Samsung Galaxy Tab Active Pro Rugged Tablet, Samsung Galaxy Tab Active Pro SM-T547 Tablet - 10.1" - 4 GB RAM - 64 GB Storage - Android 9.0 Pie - 4G - Black - Qualcomm Snapdragon 670 SoC Dual-core (2 Core) 2 GHz microSD Supported - 1920 x 1200 - LTE - 8 Megapixel Front Camera , $844.03, barcode_giant, https://www.barcodegiant.com/samsung/part-sm-t547uzkaxaa.htm, 2022-04-08
Honeywell RT10 Rugged Tablet, Tablet - Honeywell RT10 Windows Tablet - Windows 10 Imager - 1920 x 1200 Resolution - WiFi Only - Capacitive Multi-Touch - Enterprise Client Pack (ECP) - 2MP/8MP Camera - Bluetooth/Wi-Fi - 8GB/128GB Memory - Standard/Indoor Screen - 6803FR Flex Range Imager - Front & Rear Cameras - Extended Battery - Power Supply , $3062.97, barcode_giant, https://www.barcodegiant.com/honeywell/part-rt10w-l00-18c12e0f.htm, 2022-04-08
Zebra ET56 Tablet, Rugged Tablet - Zebra ET56 - 8MP Camera - Android - 32 GB - Capacitive Multi-Touch - Wi-Fi/Bluetooth - WAN - 10.1" Display - US/Canada/Puerto Rico - 9660 mAh Battery , $1710.53, barcode_giant, https://www.barcodegiant.com/zebra/part-et56dt-g21e-00na.htm, 2022-04-08
Microsoft Tablet, Microsoft Surface Pro 7+ Tablet - 12.3" - Intel Core i7 11th Gen i7-1165G7 Quad-core (4 Core) 2.80 GHz - 16 GB RAM - 256 GB SSD - Windows 10 Pro - Platinum - microSDXC Supported - 2736 x 1824 - PixelSense Display - 5 , $1599.99, barcode_giant, https://www.barcodegiant.com/microsoft/part-1nc-00001.htm, 2022-04-08
Proclip ProClip Docks and Holders Accessories, CHARGING HOLDER WITH TILT SWIVEL AND CIGARETTE LIGHTER PLUG Zebra MC55/MC65/MC67 , $129.99, barcode_giant, https://www.barcodegiant.com/proclip/part-512013.htm, 2022-04-08
Proclip ProClip Docks and Holders Accessories, CHARGING HOLDER WITH TILT SWIVEL- HARD WIRED INSTALLATION- AND TOP SUPPORT Zebra TC70 , $159.99, barcode_giant, https://www.barcodegiant.com/proclip/part-531707.htm, 2022-04-08
Proclip ProClip Docks and Holders Accessories, Forklift Mount Kit; (includes two plates- bolts- wrenches) , $99.99, barcode_giant, https://www.barcodegiant.com/proclip/part-215677.htm, 2022-04-08
512707 ProClip ProClip Docks and Holders, CHARGING HOLDER WITH TILT SWIVEL AND CIGARETTE LIGHTER PLUG Zebra TC70 , $129.99, barcode_giant, https://www.barcodegiant.com/proclip/part-512707.htm, 2022-04-08
Proclip ProClip Docks and Holders Accessories, Pedestal Mount Round Base Plate - 4" Diameter (For Solid Core Pedestals) , $31.32, barcode_giant, https://www.barcodegiant.com/proclip/part-215522.htm, 2022-04-08
Proclip ProClip Docks and Holders Accessories, HOLDER WITH TILT SWIVEL Zebra TC70 , $49.99, barcode_giant, https://www.barcodegiant.com/proclip/part-511707.htm, 2022-04-08
Proclip ProClip Docks and Holders Accessories, CHARGING HOLDER WITH TILT SWIVEL- CIGARETTE LIGHTER PLUG- AND TOP SUPPORT Zebra TC70 , $159.99, barcode_giant, https://www.barcodegiant.com/proclip/part-526707.htm, 2022-04-08
Proclip ProClip Docks and Holders Accessories, Screw Set with Nuts for Device Holders and Swiveling Top Plate , $13.54, barcode_giant, https://www.barcodegiant.com/proclip/part-215537.htm, 2022-04-08
Proclip ProClip Docks and Holders Accessories, Screw Set with Nuts for Mounting a Holder (Silver) , $17.10, barcode_giant, https://www.barcodegiant.com/proclip/part-216591.htm, 2022-04-08
HP Parts Tablet Computer, MPOS 12- X2 612 G2 TABLET- INTEL M3-7Y30- 12 INCH WUXGA+ BV LED UWVA TS- UMA- WEBCAM- 4GB LPDDR3- 128GB SSD- AC+BT- HSPA- 4C BATT- FPR- W10 IOT64 ENT RETAIL- 1YR WRTY+ U.S. - ENGLISH LOCALIZATION , $2039.00, barcode_giant, https://www.barcodegiant.com/hp/part-2mm12ua#aba.htm, 2022-04-08
MobileDemand xTablet T1200 Tablet Computer, xTablet T1200- C1D2 Tablet with Hi Brite xView Touch Display- 128GB Solid State Drive (DRV-MSATA-64)- 16GB RAM- Windows 10 Professional- 64-Bit (OS-WIN10-PRO-64)- High Capacity Battery Bay 1 and Battery Bay 2. Includes US AC Adapter with Power cord- 3-Year Limited Warranty. , $5170.00, barcode_giant, https://www.barcodegiant.com/mobiledemand/part-xt12haz.htm, 2022-04-08
Motion Computing F5m Tablet, Rugged Tablet- F5m- i5- VAD- 128 GB SSD- 4 GB- Win 7- US PWR- WWAN US- BCR- Cameras- STD 3yr , $51.00, barcode_giant, https://www.barcodegiant.com/zebra/part-200029.htm, 2022-04-08
Pioneer CarisTouch 15M Tablet Computer, 15" CT15M- PRV- 2GHz- 4GB- 128SSD- Win7-64- Wi-Fi- BAT02- 4 year warranty. , $3626.61, barcode_giant, https://www.barcodegiant.com/pioneer/part-qct-ma4yzq-wa.htm, 2022-04-08
PartnerTech Tablet, EM-310- TABLET- 10" N4200- 4GB- 64GB SSD- CAMERA- WIN 10- 2D SCANNER- HANDSTRAP- BATTERY , $1876.00, barcode_giant, https://www.barcodegiant.com/partnertech/part-um3w002000300.htm, 2022-04-08
Touch Dynamic Quest III Tablet, TOUCH DYNAMIC- QUEST V3 10" BLACK TABLET- 4GB RAM WITH WINDOWS 10 IOT ENTERPRISE (64 BIT)- CAMERA- NO NFC- BLUETOOTH- WIRELESS- MSR- 2D SCANNER- BATTERY- POWER ADAPTER- CHARGING CRADLE AND HAND STRAP- USB ADAPTER CABLE , $1896.30, barcode_giant, https://www.barcodegiant.com/touch-dynamic/part-q4010-1m00000c.htm, 2022-04-08
